vehicle_number,leave_time,train,route_number,direction,service_key,stop_time,arrive_time,dwell,location_id,door,lift,ons,offs,estimated_load,maximum_speed,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status
2267,59627,8001,80,0,S,,59627,0,769,0,0,0,0,9,,8.0194,8.0971,71.543295,-122.560105,45.66341666666667,2,2
2267,59760,8001,80,0,S,,59760,0,357,0,0,0,0,9,,8.2152,8.3053,39.572651,-122.56289666666666,45.664411666666666,2,2
2267,59843,8001,80,0,S,,59843,0,353,0,0,0,0,9,,8.5668,8.6681,103.102957,-122.568755,45.66180666666666,2,2
2267,60004,8001,80,0,S,60300,60004,0,1095,1,0,0,10,0,,9.4877,9.6791,145.904056,-122.58460833333334,45.656115,2,6
2267,58262,8001,80,0,S,,58262,0,884,0,0,0,0,5,,0.9209,0.9376,16.081928,-122.50846833333334,45.60352666666667,2,2
2267,58976,8001,80,0,S,,58976,0,309,0,0,0,0,8,,5.0952,5.1537,140.377344,-122.54067166666667,45.64293,2,2
2267,59224,8001,80,0,S,,59224,0,785,0,0,0,0,8,,6.6866,6.7804,8.801024,-122.55787333333333,45.653735,2,2
2267,59395,8001,80,0,S,59580,59395,0,1202,0,0,0,0,9,,7.3334,7.4279,130.670075,-122.56411,45.65804166666667,2,4
2267,59446,8001,80,0,S,,59446,0,1207,0,0,0,0,9,,7.5733,7.6621,47.620712,-122.56021166666666,45.65851,2,2
2267,58246,8001,80,0,S,,58246,0,885,0,0,0,0,5,,0.8177,0.8146,112.249083,-122.50909333333334,45.60211666666667,2,2
2267,59131,8001,80,0,S,,59131,0,313,0,0,0,0,8,,5.8987,5.9596,234.984876,-122.55767833333333,45.64284166666667,2,2
2267,59203,8001,80,0,S,,59203,0,770,0,0,0,0,8,,6.4896,6.5785,58.988519,-122.55801166666667,45.650983333333336,2,2
2267,58090,8001,80,0,S,58020,58090,0,492,1,1,4,0,5,,0,0,83.882705,-122.50476833333333,45.594095,2,5
2267,59017,8001,80,0,S,,59017,0,311,0,0,0,0,8,,5.4724,5.5451,16.694427,-122.54818833333333,45.64288833333333,2,2
2267,60879,8001,7,0,S,,60879,0,354,0,0,0,0,2,,1.2595,1.239,30.894179,-122.56567333333334,45.66312833333333,2,2
2267,60897,8001,7,0,S,,60897,0,356,0,0,0,0,2,,1.3838,1.3645,86.023844,-122.56325833333334,45.66410666666667,2,2
2267,60918,8001,7,0,S,,60918,0,358,0,0,0,0,2,,1.5447,1.5205,47.141924,-122.56059333333333,45.665193333333335,2,2
